Vehicle ID,Fuel ID,Manufacturer ID,Category ID,Model,Model Year,Alternative Fuel Economy City,Alternative Fuel Economy Highway,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Highway,Conventional Fuel Economy Combined,Engine Type,Engine Size,Engine Cylinder Count,Engine/Motor(s) Description,Manufacturer,Manufacturer URL,Category,Fuel Code,Fuel,Electric-Only Range,Total Range,PHEV Type,Notes,Drivetrain,Charging Rate Level 2 (kW),Charging Rate DC Fast (kW),Charging Speed Level 1 (miles added per hour of charging),Charging Speed Level 2 (miles added per hour of charging),Charging Speed DC Fast (miles added per hour of charging),Battery Voltage,Battery Capacity Amp Hours,Battery Capacity kWh,Seating Capacity
13644,41,365,29,ZDX AWD,2024,"","",78-87,"","","",e-motor,155 and 220 kW,"",155 and 220 kW electric motors,Acura,http://www.acura.com/,SUV,ELEC,Electric,278-304,"","",Includes Type S model,AWD,11,190,3,28,428,400,298.0,119.2,5
13645,41,365,29,ZDX RWD,2024,96,83,90,"","","",e-motor,255 kW ,"",255 kW  electric motor,Acura,http://www.acura.com/,SUV,ELEC,Electric,313,"","","",RWD,11,190,3,28,428,400,298.0,119.2,5
13421,41,377,27,e-tron GT/RS e-tron GT,2024,"","",85,"","","",e-motor,175 kW and 320 or 335 kW,"",175 kW and 320 or 335 kW electric motors,Audi,https://www.audiusa.com/us/web/en.html,Sedan/Wagon,ELEC,Electric,249,"","","",AWD,9.6,270,3,23,292,723,129.0,93.0,5
13422,41,377,29,Q4 40 e-tron,2024,112,94,103,"","","",e-motor,150 kW,"",150 kW electric motor,Audi,https://www.audiusa.com/us/web/en.html,SUV,ELEC,Electric,265,"","","",RWD,11,125,3,31,282,352,234.0,82.0,5
13423,41,377,29,Q4 50 e-tron quattro,2024,"","",93-95,"","","",e-motor,80 kW (x2),"",80 kW electric motors (x2),Audi,https://www.audiusa.com/us/web/en.html,SUV,ELEC,Electric,236-242,"","",Includes Sportback model,AWD,11,125,3,31,282,352,234.0,82.0,5
13646,41,377,29,Q4 55 e-tron quattro,2024,107,92,100,"","","",e-motor,80 and 150 kW,"",80 and 150 kW electric motors,Audi,https://www.audiusa.com/us/web/en.html,SUV,ELEC,Electric,258,"","",Includes Sportback model,AWD,11,125,3,31,282,352,234.0,82.4,5
13425,41,377,29,Q8 e-tron quattro,2024,80,83,81,"","","",e-motor,141 kW (x2),"",141 kW electric motors (x2),Audi,https://www.audiusa.com/us/web/en.html,SUV,ELEC,Electric,285,"","","",AWD,11,125,3,31,282,397,288.0,114.0,5
13535,41,377,29,Q8 Sportback e-tron quattro,2024,84,90,87,"","","",e-motor,141 and 172 kW,"",141 and 172 kW electric motors,Audi,https://www.audiusa.com/us/web/en.html,SUV,ELEC,Electric,296,"","","",AWD,9.6-19.2,170,3,44,311,397,288.0,114.0,5
13426,41,377,29,Q8 Sportback e-tron ultra quattro,2024,84,89,86,"","","",e-motor,172 kW (x2),"",172 kW electric motors (x2),Audi,https://www.audiusa.com/us/web/en.html,SUV,ELEC,Electric,300,"","","",AWD,11,125,3,31,282,397,288.0,114.0,5
13536,41,377,29,SQ8 e-tron/Sportback e-tron,2024,"","",63-73,"","","",e-motor,172 kW,"",172 kW electric motor,Audi,https://www.audiusa.com/us/web/en.html,SUV,ELEC,Electric,218-253,"","","Includes models with 20"", 21"", and 22"" wheels",AWD,"","","","","",397,288.0,114.0,""
13427,41,211,27,i4 eDrive35 Gran Coupe,2024,"","",110-120,"","","",e-motor,250 kW,"",250 kW electric motor,BMW,https://www.bmwusa.com,Sedan/Wagon,ELEC,Electric,252-276,"","","Includes models with 18"" and 19"" wheels",RWD,11,195,4,33,463,399,211.0,84.0,""
